split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,1,contraindication,19180.0,p_B,0.030257160533584744,0.45358231707317076,32,1262,0.0,17.0,0.24860445025881833,varA
cardiovascular,1,contraindication,19180.0,fuse_rankavg,0.047608352470329754,0.631567581300813,32,1262,0.0,17.0,0.24860445025881833,varA
cardiovascular,1,contraindication,5044.0,p_A,0.5343913230388955,0.7802581987482307,307,1262,0.0,19.0,0.5556821001814672,varA
cardiovascular,1,contraindication,5044.0,p_B,0.2731082061095672,0.5821102716714702,307,1262,0.0,19.0,0.5556821001814672,varA
cardiovascular,1,contraindication,5044.0,fuse_rankavg,0.4006139460859924,0.704089568020192,307,1262,0.0,19.0,0.5556821001814672,varA
cardiovascular,1,contraindication,5294.0,p_A,0.1607511020147293,0.6185009759626542,61,1262,0.0,9.0,-0.3930105179647705,varA
cardiovascular,1,contraindication,5294.0,p_B,0.050162904654696375,0.48643889654795863,61,1262,0.0,9.0,-0.3930105179647705,varA
cardiovascular,1,contraindication,5294.0,fuse_rankavg,0.0805876209208649,0.584001037386877,61,1262,0.0,9.0,-0.3930105179647705,varA
cardiovascular,1,contraindication,5009.0,p_A,0.17106324475580975,0.7002604925677645,94,1262,0.0,92.0,0.4647363765240155,varA
cardiovascular,1,contraindication,5009.0,p_B,0.07847391849629826,0.5352940104925678,94,1262,0.0,92.0,0.4647363765240155,varA
cardiovascular,1,contraindication,5009.0,fuse_rankavg,0.1213436468069215,0.6340671451471873,94,1262,0.0,92.0,0.4647363765240155,varA
cardiovascular,1,contraindication,1574.0,p_A,0.03713991164728193,0.6217479674796749,32,1262,0.0,7.0,0.5797045314532782,varA
cardiovascular,1,contraindication,1574.0,p_B,0.0276298997090735,0.41303353658536585,32,1262,0.0,7.0,0.5797045314532782,varA
cardiovascular,1,contraindication,1574.0,fuse_rankavg,0.03652311229477701,0.514989837398374,32,1262,0.0,7.0,0.5797045314532782,varA
cardiovascular,1,contraindication,1576.0,p_A,0.03715944163230836,0.6233231707317073,32,1262,0.0,6.0,0.5267694214362627,varA
cardiovascular,1,contraindication,1576.0,p_B,0.024718002175407712,0.371875,32,1262,0.0,6.0,0.5267694214362627,varA
cardiovascular,1,contraindication,1576.0,fuse_rankavg,0.031511236842216205,0.4923907520325203,32,1262,0.0,6.0,0.5267694214362627,varA
cardiovascular,1,contraindication,5386.0,p_A,0.07274366874967039,0.5416397849462364,62,1262,0.0,3.0,0.1716613215164781,varA
cardiovascular,1,contraindication,5386.0,p_B,0.044901154151633114,0.4396908602150537,62,1262,0.0,3.0,0.1716613215164781,varA
cardiovascular,1,contraindication,5386.0,fuse_rankavg,0.07552942156023024,0.5040524193548387,62,1262,0.0,3.0,0.1716613215164781,varA
cardiovascular,1,contraindication,5295.0,p_A,0.05117043344624746,0.49334570917677895,61,1262,0.0,2.0,0.9780281206454324,varA
cardiovascular,1,contraindication,5295.0,p_B,0.05167768808300129,0.4908477907754467,61,1262,0.0,2.0,0.9780281206454324,varA
cardiovascular,1,contraindication,5295.0,fuse_rankavg,0.05162686781047496,0.49221959842207996,61,1262,0.0,2.0,0.9780281206454324,varA
cardiovascular,1,contraindication,992.0,p_A,0.35051607028145526,0.7089580418027143,215,1262,0.0,9.0,0.14986622571677716,varA
cardiovascular,1,contraindication,992.0,p_B,0.16822239988915239,0.478167966060283,215,1262,0.0,9.0,0.14986622571677716,varA
cardiovascular,1,contraindication,992.0,fuse_rankavg,0.2465304606619299,0.6235801070611493,215,1262,0.0,9.0,0.14986622571677716,varA
cardiovascular,1,contraindication,5010.0,p_A,0.5221112655013761,0.7861030534351146,262,1262,0.0,216.0,0.49086510010356116,varA
cardiovascular,1,contraindication,5010.0,p_B,0.2203156277897721,0.5621145038167938,262,1262,0.0,216.0,0.49086510010356116,varA
cardiovascular,1,contraindication,5010.0,fuse_rankavg,0.3240369465062001,0.6998435114503817,262,1262,0.0,216.0,0.49086510010356116,varA
cardiovascular,1,contraindication,465.0,p_A,0.037173463196048265,0.5935266037955524,35,1262,0.0,11.0,0.5112075907909082,varA
cardiovascular,1,contraindication,465.0,p_B,0.03345112471654267,0.5621143322854815,35,1262,0.0,11.0,0.5112075907909082,varA
cardiovascular,1,contraindication,465.0,fuse_rankavg,0.036447783589483716,0.5906741180579811,35,1262,0.0,11.0,0.5112075907909082,varA
cardiovascular,1,contraindication,6659.0,p_A,0.05165730037133845,0.6563190424252594,29,1262,0.0,1.0,0.9756836697997238,varA
cardiovascular,1,contraindication,6659.0,p_B,0.05780791372201545,0.6776295550521577,29,1262,0.0,1.0,0.9756836697997238,varA
cardiovascular,1,contraindication,6659.0,fuse_rankavg,0.05447975375066788,0.6677993120228207,29,1262,0.0,1.0,0.9756836697997238,varA
cardiovascular,1,contraindication,5279.0,p_A,0.8129888724496785,0.9455488141202427,37,1262,0.0,11.0,0.2323212997227256,varA
cardiovascular,1,contraindication,5279.0,p_B,0.022391779656979742,0.38757859900717045,37,1262,0.0,11.0,0.2323212997227256,varA
cardiovascular,1,contraindication,5279.0,fuse_rankavg,0.06205396557933271,0.7177716492002206,37,1262,0.0,11.0,0.2323212997227256,varA
cardiovascular,1,contraindication,5267.0,p_A,0.15495937895939388,0.5318045789385568,176,1262,0.0,59.0,0.02391006236650371,varA
cardiovascular,1,contraindication,5267.0,p_B,0.1930989062611292,0.5259658044533735,176,1262,0.0,59.0,0.02391006236650371,varA
cardiovascular,1,contraindication,5267.0,fuse_rankavg,0.16740195888291046,0.5440994893688265,176,1262,0.0,59.0,0.02391006236650371,varA
cardiovascular,1,contraindication,4995.0,p_A,0.14114854613073635,0.5032542273564373,176,1262,0.0,4.0,0.0005329477887592346,varA
cardiovascular,1,contraindication,4995.0,p_B,0.1441727196138894,0.5252490373346728,176,1262,0.0,4.0,0.0005329477887592346,varA
