split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag,fusion_w
cardiovascular,2,indication,11479.0,fuse_mlp,0.003945525291828794,0.7900890868596881,2,1798,0.0,5.0,-0.2737316442543324,varA,0.02
cardiovascular,2,indication,8364.0,p_A,0.002204763604260195,0.6327951002227171,2,1798,0.0,5.0,0.4632096181121454,varA,0.02
cardiovascular,2,indication,8364.0,p_B,0.0026579244218838125,0.6812360801781737,2,1798,0.0,5.0,0.4632096181121454,varA,0.02
cardiovascular,2,indication,8364.0,fuse_rankavg,0.0028206345438721416,0.6965478841870825,2,1798,0.0,5.0,0.4632096181121454,varA,0.02
cardiovascular,2,indication,8364.0,fuse_scalar,0.002660870547853294,0.6809576837416481,2,1798,0.0,5.0,0.4632096181121454,varA,0.02
cardiovascular,2,indication,8364.0,fuse_mlp,0.002524522132796781,0.6784521158129175,2,1798,0.0,5.0,0.4632096181121454,varA,0.02
cardiovascular,2,indication,5267.0,p_A,0.0006309148264984228,0.11853088480801333,1,1798,0.0,59.0,-0.31431833667447995,varA,0.02
cardiovascular,2,indication,5267.0,p_B,0.0014367816091954023,0.6132442960489706,1,1798,0.0,59.0,-0.31431833667447995,varA,0.02
cardiovascular,2,indication,5267.0,fuse_rankavg,0.0007072135785007072,0.21368948247078468,1,1798,0.0,59.0,-0.31431833667447995,varA,0.02
cardiovascular,2,indication,5267.0,fuse_scalar,0.0013986013986013986,0.6026711185308848,1,1798,0.0,59.0,-0.31431833667447995,varA,0.02
cardiovascular,2,indication,5267.0,fuse_mlp,0.0007047216349541931,0.2109070673344463,1,1798,0.0,59.0,-0.31431833667447995,varA,0.02
cardiovascular,2,indication,4995.0,p_A,0.0010504201680672268,0.4707846410684474,1,1798,0.0,4.0,0.0924557571407262,varA,0.02
cardiovascular,2,indication,4995.0,p_B,0.005291005291005291,0.8953811908736783,1,1798,0.0,4.0,0.0924557571407262,varA,0.02
cardiovascular,2,indication,4995.0,fuse_rankavg,0.0024813895781637717,0.7762938230383973,1,1798,0.0,4.0,0.0924557571407262,varA,0.02
cardiovascular,2,indication,4995.0,fuse_scalar,0.005291005291005291,0.8953811908736784,1,1798,0.0,4.0,0.0924557571407262,varA,0.02
cardiovascular,2,indication,4995.0,fuse_mlp,0.001466275659824047,0.6210350584307178,1,1798,0.0,4.0,0.0924557571407262,varA,0.02
cardiovascular,2,indication,5264.0,p_A,0.01171564806720229,0.7061036789297659,4,1798,0.0,50.0,-0.08832926086259102,varA,0.02
cardiovascular,2,indication,5264.0,p_B,0.0020806561603858896,0.35674470457079155,4,1798,0.0,50.0,-0.08832926086259102,varA,0.02
cardiovascular,2,indication,5264.0,fuse_rankavg,0.0033360643456479943,0.5503065774804905,4,1798,0.0,50.0,-0.08832926086259102,varA,0.02
cardiovascular,2,indication,5264.0,fuse_scalar,0.0021087787377931442,0.36357302118171686,4,1798,0.0,50.0,-0.08832926086259102,varA,0.02
cardiovascular,2,indication,5264.0,fuse_mlp,0.0038443996026195073,0.5795707915273133,4,1798,0.0,50.0,-0.08832926086259102,varA,0.02
cardiovascular,2,indication,5299.0,p_A,0.003771994450008935,0.48745819397993306,4,1798,0.0,56.0,0.3360722728983118,varA,0.02
cardiovascular,2,indication,5299.0,p_B,0.0021943530165607116,0.37695094760312153,4,1798,0.0,56.0,0.3360722728983118,varA,0.02
cardiovascular,2,indication,5299.0,fuse_rankavg,0.002375001595570203,0.42314659977703456,4,1798,0.0,56.0,0.3360722728983118,varA,0.02
cardiovascular,2,indication,5299.0,fuse_scalar,0.0021868414371503915,0.37792642140468224,4,1798,0.0,56.0,0.3360722728983118,varA,0.02
